topic,category,2012_q1,2012_q2,2012_q3,2012_q4,2013_q1,2013_q2,2013_q3,2013_q4,2014_q1,2014_q2,2014_q3,2014_q4,2015_q1
whatsapp,corp,6,3,22,23,21,48,19,35,307,37,41,55,98
mayer,people,6,11,121,28,86,36,48,28,10,11,4,12,14
docker,corp,,1,,,5,30,139,151,178,195,295,359,412
oculus,corp,,2,12,2,17,44,31,27,226,124,89,64,51
zynga,corp,120,54,85,95,23,61,29,6,14,8,4,5,18
snapchat,corp,,1,1,33,34,47,48,212,75,56,58,79,78
react,lang,6,3,5,3,3,24,15,21,49,58,79,87,282
snowden,people,,,,,,599,465,312,226,152,94,71,95
openssl,techno,3,4,2,6,4,4,15,11,21,162,11,12,36
sopa,security,885,64,19,15,19,13,10,2,6,4,,6,1
vr,techno,,,8,4,7,10,12,19,82,59,60,52,111
swartz,people,3,,5,,540,29,37,23,33,26,9,13,8
digg,corp,18,14,106,9,17,25,13,1,5,,3,2,2
megaupload,corp,128,43,22,19,14,14,2,1,7,4,,1,1
iot,techno,,,2,4,2,5,5,14,16,28,41,56,113
slack,corp,2,,1,1,1,,5,6,12,18,25,64,145
vine,corp,,1,,4,115,67,24,14,15,3,3,9,8
prism,security,,1,3,2,,413,96,14,11,2,7,2,8
hyperloop,techno,,,8,7,,11,141,19,3,1,2,9,35
Mtgox,corp,,,,,7,36,7,4,235,40,7,3,10
cara,security,33,132,89,,,6,1,1,3,1,1,2,
romney,people,27,24,96,112,3,5,2,1,,,,1,
cispa,security,,141,2,,42,93,,7,,4,4,,2
acta,security,133,39,21,2,7,2,,4,,,,,
obat,security,200,284,104,1,,,,,,,,,
flappy,techno,,,,,,,,,289,54,31,5,3
heartbleed,security,,,,,,,,,4,531,21,5,6
2048,techno,1,,1,,,2,1,,218,102,14,12,6
ebola,security,,1,,2,1,,,,4,9,261,304,29
